dt,open,high,low,close,vwap,atr,rsi2,adx15
2023-01-03 07:55:00,25862.319,25862.999,25852.419,25862.469,25846.43604861111,16.956016763283916,67.97294067691232,29.69757556378608
2023-01-03 08:00:00,25859.999,25877.469,25852.369,25872.369,25846.652195876286,17.537729851620934,93.55808739878468,28.17315305341241
2023-01-03 08:05:00,25869.269,25887.999,25867.369,25882.319,25846.984612244894,17.75860629079094,97.52784653391612,28.17315305341241
2023-01-03 08:10:00,25877.999,25877.999,25842.269,25844.419,25847.06452188552,19.350848698591538,17.12647561839229,28.17315305341241
2023-01-03 08:15:00,25847.469,25857.519,25842.319,25849.519,25847.091733333327,19.054359505835052,32.174763690606554,26.347202168254483
2023-01-03 08:20:00,25847.519,25862.469,25844.269,25857.999,25847.169165016498,18.993333826846886,57.71090785668156,26.347202168254483
2023-01-03 08:25:00,25854.369,25867.999,25852.369,25862.269,25847.303575163398,18.753095696357896,69.33713406337978,26.347202168254483
2023-01-03 08:30:00,25859.519,25862.999,25842.269,25847.519,25847.33877346278,18.894303146618014,23.914733125425826,24.651676346322127
2023-01-03 08:35:00,25849.269,25867.999,25847.269,25864.999,25847.46137179487,19.02542435043098,70.19403464124133,24.651676346322127
2023-01-03 08:40:00,25862.419,25877.999,25859.519,25867.999,25847.661793650794,18.986465468257308,75.34217928000801,24.651676346322127
2023-01-03 08:45:00,25869.999,25882.519,25867.269,25879.519,25847.93324528302,18.7195750776675,89.40134462584562,23.277377287039254
2023-01-03 08:50:00,25882.269,25887.999,25877.269,25887.469,25848.27261370717,18.14889114354836,94.06887149580174,23.277377287039254
2023-01-03 08:55:00,25889.319,25892.999,25877.369,25889.469,25848.62761111111,17.968970347580697,95.14470393632027,23.277377287039254
2023-01-03 09:00:00,25892.319,25907.319,25889.269,25902.419,25849.09588073395,17.97475817989631,98.55021120021217,22.850601614700846
2023-01-03 09:05:00,25899.999,25902.999,25892.269,25897.319,25849.536181818185,17.45727545276083,63.48025831637911,22.850601614700846
2023-01-03 09:10:00,25902.469,25912.469,25897.269,25912.469,25850.0574984985,17.296041491849394,88.27322813746815,22.850601614700846
2023-01-03 09:15:00,25909.469,25922.999,25907.369,25917.999,25850.647363095242,17.17703852814594,92.15922437041576,22.920062836461664
2023-01-03 09:20:00,25914.469,25922.519,25907.319,25909.269,25851.1994719764,17.03582149042128,45.037706393511876,22.920062836461664
2023-01-03 09:25:00,25907.469,25912.999,25892.269,25892.469,25851.620929824563,17.299691383962585,15.174883451440735,22.920062836461664
2023-01-03 09:30:00,25897.519,25902.469,25887.269,25892.369,25851.98975362319,17.149713427965313,15.05603706453276,22.75139372720976
2023-01-03 09:35:00,25887.369,25922.519,25872.269,25917.419,25852.43871264368,19.514019611682077,82.74802172423271,22.75139372720976
2023-01-03 09:40:00,25914.519,25939.469,25907.269,25937.269,25853.084555555557,20.420161067990552,92.37634574924466,22.75139372720976
2023-01-03 09:45:00,25939.999,25957.419,25897.319,25902.519,25853.64388700565,23.254435277419955,31.271064206537105,23.533278529055657
2023-01-03 09:50:00,25904.369,25917.519,25852.319,25887.269,25853.913285714287,26.25054704331858,19.78453453494818,23.533278529055657
2023-01-03 09:55:00,25882.519,25887.519,25832.369,25844.319,25853.92013888889,28.314793683081646,6.446483517437599,23.533278529055657
2023-01-03 10:00:00,25842.519,25847.999,25797.319,25832.319,25853.6883939394,29.912308420004408,4.682506272776223,22.08760630872172
2023-01-03 10:05:00,25829.469,25842.999,25817.519,25842.469,25853.529710382518,29.595714961432634,34.84335733109316,22.08760630872172
2023-01-03 10:10:00,25839.369,25842.999,25822.519,25837.469,25853.373607046073,28.944592464187416,26.562520636796364,22.08760630872172
2023-01-03 10:15:00,25834.999,25837.469,25802.269,25819.469,25853.102333333336,29.391407288174083,9.797529879961502,20.74519638984021
2023-01-03 10:20:00,25817.269,25822.519,25782.319,25797.269,25852.683133333336,30.16344962473313,3.831887320611173,20.74519638984021
2023-01-03 10:25:00,25792.519,25814.319,25792.319,25807.369,25852.302068783072,29.580346080109337,38.11724409967432,20.74519638984021
2023-01-03 10:30:00,25804.269,25814.469,25782.269,25782.469,25851.835666666673,29.767464217244434,13.821286547654339,20.043492630397377
2023-01-03 10:35:00,25787.469,25802.369,25777.369,25797.419,25851.37121354167,29.426931058869833,51.18439712733641,20.043492630397377
2023-01-03 10:40:00,25792.999,25842.999,25792.319,25842.999,25851.175356589152,30.945007411807723,86.60260326077074,20.043492630397377
2023-01-03 10:45:00,25847.519,25857.519,25837.269,25852.319,25851.1588974359,30.181078310964317,89.66820248412047,18.857018556053223
2023-01-03 10:50:00,25857.269,25867.519,25852.269,25852.469,25851.206684478377,29.11457271732401,89.74374459714628,18.857018556053223
2023-01-03 10:55:00,25854.469,25872.469,25847.269,25867.319,25851.291121212125,28.834960380372344,95.80983887571129,18.857018556053223
